Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,250,2/18/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,232,2/18/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,6,2/18/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,107,2/18/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,475,2/18/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,19,2/18/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,266,2/18/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,410,2/18/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/18/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,251,2/18/2025 15:00
Sproul Hall,SPR,Classic Triple,Female,535,2/18/2025 15:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,41,2/18/2025 15:00
Sproul Hall,SPR,Classic Triple,Male,351,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,464,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,39,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,284,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,442,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,36,2/18/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,278,2/18/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/18/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,6,2/18/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,2,2/18/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/18/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,1,2/18/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,1,2/18/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Female,26,2/18/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,1,2/18/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Male,35,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,9,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,24,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,2,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/18/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,21,2/18/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/18/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/18/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/18/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,6,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,26,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,33,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,90,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/18/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,54,2/18/2025 15:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/18/2025 15:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/18/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/18/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,5,2/18/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/18/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/18/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/18/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,3,2/18/2025 15:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/18/2025 15:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/18/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/18/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/18/2025 15:00
Laurel,LA,2 Bd/4 Person,Female,0,2/18/2025 15:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Laurel,LA,2 Bd/4 Person,Male,1,2/18/2025 15:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Female,165,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Male,98,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Female,258,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/18/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Male,149,2/18/2025 15:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/18/2025 15:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Landfair Apartments,LF,2 Bd/4 Person,Male,2,2/18/2025 15:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2/18/2025 15:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,9,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,12,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,3,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,9,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,120,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2/18/2025 15:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,59,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2/18/2025 15:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2/18/2025 15:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2/18/2025 15:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2/18/2025 15:00
Palo Verde,PV,2 Bd/4 Person,Female,0,2/18/2025 15:00
Palo Verde,PV,2 Bd/4 Person,Male,0,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Double,Female,87,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Double,Male,52,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Triple,Female,142,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,1,2/18/2025 15:00
Palo Verde,PV,4 Bd/10 Person-Triple,Male,80,2/18/2025 15:00
Tipuana,TN,2 Bd/4 Person,Female,0,2/18/2025 15:00
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Tipuana,TN,2 Bd/4 Person,Male,1,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Double,Female,168,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Double,Male,119,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Triple,Female,291,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,2,2/18/2025 15:00
Tipuana,TN,4 Bd/10 Person-Triple,Male,180,2/18/2025 15:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/18/2025 15:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/18/2025 15:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/18/2025 15:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/18/2025 15:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,1,2/18/2025 15:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,7,2/18/2025 15:00
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,5,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/18/2025 15:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,3,2/18/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,528,2/21/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,282,2/21/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Female,212,2/21/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Male,100,2/21/2025 10:00
Dykstra Hall,DYK,Classic Triple,Female,423,2/21/2025 10:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 10:00
Dykstra Hall,DYK,Classic Triple,Male,245,2/21/2025 10:00
Hedrick Hall,HED,Classic Triple,Female,577,2/21/2025 10:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 10:00
Hedrick Hall,HED,Classic Triple,Male,364,2/21/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,247,2/21/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,132,2/21/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Female,613,2/21/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,23,2/21/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Male,297,2/21/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 10:00
Rieber Hall,RIE,Classic Triple,Female,537,2/21/2025 10:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 10:00
Rieber Hall,RIE,Classic Triple,Male,368,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,349,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,31,2/21/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,209,2/21/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,328,2/21/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/21/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,222,2/21/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,97,2/21/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/21/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,12,2/21/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,162,2/21/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,8,2/21/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,56,2/21/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/21/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/21/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,399,2/21/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/21/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,250,2/21/2025 10:00
Sproul Hall,SPR,Classic Triple,Female,484,2/21/2025 10:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/21/2025 10:00
Sproul Hall,SPR,Classic Triple,Male,315,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,303,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,14,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,172,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,5,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,345,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2/21/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,255,2/21/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/21/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/21/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/21/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/21/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2/21/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/21/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/21/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/21/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2/21/2025 10:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/21/2025 10:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/21/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/21/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2/21/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/21/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/21/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2/21/2025 10:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/21/2025 10:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/21/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/21/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/21/2025 10:00
Laurel,LA,2 Bd/4 Person,Female,0,2/21/2025 10:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Laurel,LA,2 Bd/4 Person,Male,0,2/21/2025 10:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Female,60,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Male,90,2/21/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2/21/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/21/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2/21/2025 10:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2/21/2025 10:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2/21/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,10,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2/21/2025 10:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2/21/2025 10:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2/21/2025 10:00
Palo Verde,PV,2 Bd/4 Person,Female,0,2/21/2025 10:00
Palo Verde,PV,2 Bd/4 Person,Male,0,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Triple,Female,48,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Palo Verde,PV,4 Bd/10 Person-Triple,Male,43,2/21/2025 10:00
Tipuana,TN,2 Bd/4 Person,Female,0,2/21/2025 10:00
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Tipuana,TN,2 Bd/4 Person,Male,0,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Double,Male,1,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Triple,Female,76,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 10:00
Tipuana,TN,4 Bd/10 Person-Triple,Male,126,2/21/2025 10:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/21/2025 10:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/21/2025 10:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/21/2025 10:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/21/2025 10:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2/21/2025 10:00
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 10:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2/21/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,581,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,21,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,309,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Female,222,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Male,110,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Female,433,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Male,251,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Female,577,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Male,366,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,257,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,3,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,143,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Female,701,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,26,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Male,363,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Female,547,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Male,371,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,380,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,234,2/20/2025 13:02
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/20/2025 13:02
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/20/2025 13:02
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,352,2/20/2025 13:02
